12  	 1.0
13  	 4.0
15  	 1.0
16  	 2.0
17  	 1.0
18  	 3.0
19  	 10.0
20  	 7.0
21  	 11.0
22  	 10.0
23  	 14.0
24  	 20.0
25  	 23.0
26  	 12.0
27  	 18.0
28  	 14.0
29  	 6.0
30  	 15.0
31  	 7.0
32  	 4.0
33  	 9.0
34  	 8.0
35  	 7.0
36  	 5.0
37  	 8.0
38  	 11.0
39  	 6.0
40  	 12.0
42  	 5.0
43  	 1.0
44  	 1.0
45  	 4.0
46  	 1.0
47  	 2.0
49  	 1.0
50  	 3.0
51  	 1.0
53  	 1.0
54  	 4.0
56  	 2.0
59  	 1.0
60  	 2.0
63  	 1.0
65  	 1.0
67  	 1.0
74  	 1.0
8  	 1.0
80  	 2.0
9  	 3.0
Age  	 1.0
